Zeit,Wert
11:16:01,0.976
11:16:10,0.985
11:16:18,0.991
11:16:26,0.987
11:16:34,0.982
11:16:42,0.977
11:16:50,0.97
11:16:58,0.97
11:17:07,0.969
11:17:15,0.97
11:17:23,0.974
11:17:31,0.97
11:17:39,0.975
11:17:47,0.97
11:17:55,0.971
11:18:03,0.974
11:18:12,0.971
11:18:20,0.974
11:18:28,0.972
11:18:36,0.969
11:18:44,0.96
11:18:52,0.96
11:19:00,0.965
11:19:09,0.962
11:19:17,0.962
11:19:25,0.958
11:19:33,0.945
11:19:41,0.949
11:19:49,0.955
11:19:57,0.949
11:20:05,0.954
11:20:14,0.947
11:20:22,0.945
11:20:30,0.962
11:20:38,0.961
11:20:46,0.96
11:20:54,0.962
11:21:02,0.962
11:21:11,0.959
11:21:19,0.952
11:21:27,0.949
11:21:35,0.952
11:21:43,0.957
11:21:51,0.961
11:21:59,0.966
11:22:08,0.964
11:22:16,0.961
11:22:24,0.96
11:22:32,0.959
11:22:40,0.962
11:22:48,0.966
11:22:56,0.966
17:21:06,0.969
17:21:14,0.963
17:21:23,0.965
17:21:31,0.96
17:21:39,0.959
17:21:47,0.962
17:21:55,0.963
17:22:03,0.952
17:22:11,0.945
17:22:19,0.942
17:22:27,0.941
17:22:35,0.938
17:22:44,0.944
17:22:52,0.938
17:23:00,0.942
17:23:08,0.939
17:23:16,0.939
17:23:24,0.935
17:23:32,0.94
17:23:40,0.949
17:23:49,0.951
17:23:57,0.951
17:24:05,0.95
17:24:13,0.951
17:24:21,0.952
17:24:29,0.95
17:24:37,0.96
17:24:45,0.957
17:24:53,0.958
17:25:02,0.951
17:25:10,0.95
17:25:18,0.951
17:25:26,0.944
17:25:34,0.936
17:25:42,0.935
17:25:50,0.939
17:25:59,0.943
17:26:07,0.944
17:26:15,0.948
17:26:23,0.945
17:26:31,0.945
17:26:39,0.949
17:26:47,0.944
17:26:56,0.934
17:27:04,0.943
17:27:12,0.947
17:27:20,0.941
17:27:28,0.946
17:27:36,0.955
17:27:45,0.956
17:27:53,0.958
17:28:01,0.96
17:28:09,0.97
17:28:17,0.964
17:28:25,0.967
17:28:34,0.972
17:28:42,0.971
17:28:50,0.973
17:28:58,0.97
17:29:06,0.971
17:29:14,0.977
17:29:23,0.979
17:29:31,0.977
17:29:39,0.963
17:29:47,0.97
17:29:55,0.973
17:30:03,0.971
17:30:12,0.966
17:30:20,0.976
17:30:28,0.977
17:30:36,0.977
17:30:44,0.98
17:30:52,0.975
17:31:01,0.982
17:31:09,0.987
17:31:17,0.993
17:31:25,0.99
17:31:33,0.99
17:31:41,0.994
17:31:50,0.999
17:31:58,1.0
17:32:06,1.0
17:32:14,1.0
17:32:22,0.994
17:32:30,0.991
17:32:38,0.988
17:32:47,0.998
17:32:55,0.995
17:33:03,0.993
17:33:11,0.99
17:33:19,0.984
17:33:27,0.985
17:33:36,0.979
17:33:44,0.975
17:33:52,0.972
17:34:00,0.975
17:34:08,0.97
17:34:16,0.966
17:34:25,0.97
17:34:33,0.971
17:34:41,0.967
17:34:49,0.973
17:34:57,0.973
17:35:05,0.988
17:35:13,0.982
17:35:22,0.98
17:35:30,0.979
17:35:38,0.972
17:35:46,0.976
17:35:54,0.975
17:36:02,0.981
17:36:11,0.978
17:36:19,0.978
17:36:27,0.973
17:36:35,0.967
17:36:43,0.967
17:36:51,0.965
17:37:00,0.972
17:37:08,0.972
17:37:16,0.966
17:37:24,0.966
17:37:32,0.969
17:37:40,0.971
17:37:48,0.97
17:37:57,0.969
17:38:05,0.96
17:38:13,0.961
17:38:21,0.959
17:38:29,0.956
17:38:37,0.956
17:38:46,0.955
17:38:54,0.952
17:39:02,0.955
17:39:10,0.951
17:39:18,0.956
17:39:26,0.957
17:39:35,0.962
17:39:43,0.963
17:39:51,0.957
17:39:59,0.954
17:40:07,0.96
17:40:15,0.957
17:40:24,0.96
17:40:32,0.958
17:40:40,0.967
17:40:48,0.959
17:40:56,0.963
17:41:04,0.966
17:41:12,0.967
17:41:21,0.966
17:41:29,0.97
17:41:37,0.964
17:41:45,0.96
17:41:53,0.957
17:42:01,0.953
17:42:09,0.953
17:42:18,0.956
17:42:26,0.961
17:42:34,0.954
17:42:42,0.947
17:42:50,0.949
17:42:58,0.946
17:43:06,0.937
17:43:14,0.93
17:43:22,0.931
17:43:31,0.922
17:43:39,0.92
17:43:47,0.912
17:43:55,0.914
17:44:03,0.919
17:44:11,0.923
17:44:19,0.925
17:44:27,0.926
17:44:35,0.925
17:44:44,0.925
17:44:52,0.921
17:45:00,0.919
17:45:08,0.918
17:45:16,0.917
17:45:24,0.915
17:45:33,0.916
17:45:41,0.912
17:45:49,0.913
17:45:57,0.911
17:46:05,0.911
17:46:13,0.919
17:46:22,0.915
17:46:30,0.91
17:46:38,0.912
17:46:46,0.919
17:46:54,0.916
17:47:02,0.91
17:47:10,0.909
17:47:18,0.91
17:47:26,0.907
17:47:35,0.904
17:47:43,0.909
17:47:51,0.911
17:47:59,0.919
17:48:07,0.912
17:48:15,0.91
17:48:23,0.911
17:48:31,0.911
17:48:39,0.909
17:48:48,0.916
17:48:56,0.917
17:49:04,0.912
17:49:12,0.907
17:49:20,0.908
17:49:28,0.908
17:49:36,0.907
17:49:44,0.909
17:49:52,0.909
17:50:01,0.905
17:50:09,0.9
17:50:17,0.9
17:50:25,0.908
17:50:33,0.906
17:50:41,0.906
17:50:49,0.899
17:50:57,0.896
17:51:05,0.903
17:51:13,0.897
17:51:22,0.898
17:51:30,0.898
17:51:38,0.901
17:51:46,0.888
17:51:54,0.9
17:52:02,0.895
17:52:10,0.896
17:52:18,0.887
17:52:26,0.885
17:52:34,0.893
17:52:43,0.89
17:52:51,0.893
17:52:59,0.893
17:53:07,0.894
17:53:15,0.892
17:53:23,0.886
17:53:31,0.882
17:53:39,0.871
17:53:48,0.872
17:53:56,0.869
17:54:04,0.873
17:54:12,0.875
17:54:20,0.868
17:54:28,0.879
17:54:36,0.881
17:54:44,0.879
17:54:52,0.877
17:55:01,0.878
17:55:09,0.871
17:55:17,0.878
17:55:25,0.877
17:55:33,0.884
17:55:41,0.884
17:55:49,0.886
17:55:57,0.892
17:56:05,0.894
17:56:14,0.887
17:56:22,0.883
17:56:30,0.883
17:56:38,0.878
17:56:46,0.879
17:56:54,0.876
17:57:02,0.877
17:57:10,0.886
17:57:18,0.884
17:57:26,0.885
17:57:35,0.879
17:57:43,0.877
17:57:51,0.887
17:57:59,0.89
17:58:07,0.891
17:58:15,0.89
17:58:23,0.88
17:58:31,0.879
17:58:39,0.877
17:58:48,0.87
17:58:56,0.859
17:59:04,0.853
17:59:12,0.851
17:59:20,0.845
17:59:28,0.841
17:59:36,0.843
17:59:44,0.852
17:59:52,0.854
18:00:00,0.862
18:00:09,0.861
18:00:17,0.862
18:00:25,0.861
18:00:33,0.863
18:00:41,0.87
18:00:49,0.874
18:00:57,0.873
18:01:05,0.875
18:01:13,0.87
18:01:21,0.868
18:01:30,0.873
18:01:38,0.873
18:01:46,0.865
18:01:54,0.869
18:02:02,0.881
18:02:10,0.889
18:02:18,0.883
18:02:26,0.885
18:02:34,0.874
18:02:43,0.863
18:02:51,0.871
18:02:59,0.867
18:03:07,0.869
18:03:15,0.873
18:03:23,0.87
18:03:31,0.876
18:03:39,0.875
18:03:47,0.865
18:03:55,0.868
18:04:04,0.863
18:04:12,0.861
18:04:20,0.867
18:04:28,0.864
18:04:36,0.859
18:04:44,0.857
18:04:52,0.86
18:05:00,0.857
18:05:08,0.86
18:05:17,0.855
18:05:25,0.858
18:05:33,0.854
18:05:41,0.859
18:05:49,0.852
18:05:57,0.853
18:06:05,0.849
18:06:13,0.851
18:06:21,0.857
18:06:30,0.856
18:06:38,0.853
18:06:46,0.85
18:06:54,0.853
18:07:02,0.854
18:07:10,0.858
18:07:18,0.861
18:07:26,0.857
18:07:34,0.852
18:07:43,0.85
18:07:51,0.844
18:07:59,0.846
18:08:07,0.843
18:08:15,0.844
18:08:23,0.843
18:08:31,0.835
18:08:39,0.833
18:08:47,0.825
18:08:56,0.806
18:09:04,0.8
18:09:12,0.802
18:09:20,0.804
18:09:28,0.808
18:09:36,0.803
18:09:44,0.808
18:09:52,0.81
18:10:00,0.818
18:10:08,0.812
18:10:17,0.806
18:10:25,0.808
18:10:33,0.815
18:10:41,0.808
18:10:49,0.813
18:10:57,0.814
18:11:05,0.813
18:11:13,0.81
18:11:21,0.809
18:11:30,0.811
18:11:38,0.823
18:11:46,0.818
18:11:54,0.82
18:12:02,0.822
18:12:10,0.829
18:12:18,0.829
18:12:26,0.824
18:12:34,0.817
18:12:43,0.811
18:12:51,0.815
18:12:59,0.808
18:13:07,0.803
18:13:15,0.8
18:13:23,0.8
18:13:31,0.802
18:13:39,0.804
18:13:47,0.805
18:13:56,0.808
18:14:04,0.804
18:14:12,0.802
18:14:20,0.8
18:14:28,0.805
18:14:36,0.802
18:14:44,0.807
18:14:53,0.807
18:15:01,0.807
18:15:09,0.817
18:15:17,0.818
18:15:25,0.818
18:15:33,0.814
18:15:41,0.809
18:15:50,0.815
18:15:58,0.804
18:16:06,0.813
18:16:14,0.809
18:16:22,0.807
18:16:30,0.803
18:16:38,0.803
18:16:47,0.808
18:16:55,0.813
18:17:03,0.815
18:17:11,0.813
18:17:19,0.809
18:17:27,0.804
18:17:35,0.807
18:17:43,0.804
18:17:52,0.8
18:18:00,0.811
18:18:08,0.813
18:18:16,0.816
18:18:24,0.82
18:18:32,0.82
18:18:40,0.829
18:18:49,0.814
18:18:57,0.811
18:19:05,0.806
18:19:13,0.802
18:19:21,0.8
18:19:29,0.8
18:19:37,0.8
18:19:46,0.8
18:19:54,0.8
18:20:02,0.8
18:20:10,0.8
18:20:18,0.802
18:20:26,0.8
18:20:34,0.8
18:20:42,0.8
18:20:51,0.8
18:20:59,0.8
18:21:07,0.8
18:21:15,0.804
18:21:23,0.807
18:21:31,0.81
18:21:39,0.815
18:21:47,0.817
18:21:56,0.823
18:22:04,0.826
18:22:12,0.825
18:22:20,0.812
18:22:28,0.816
18:22:36,0.819
18:22:44,0.81
18:22:52,0.814
18:23:01,0.822
18:23:09,0.826
18:23:17,0.83
18:23:25,0.833
18:23:33,0.833
18:23:41,0.834
18:23:50,0.837
18:23:58,0.832
18:24:06,0.822
18:24:14,0.81
18:24:22,0.813
18:24:30,0.82
18:24:39,0.822
18:24:47,0.826
18:24:55,0.821
18:25:03,0.822
18:25:11,0.819
18:25:19,0.807
18:25:28,0.804
18:25:36,0.8
18:25:44,0.806
18:25:52,0.806
18:26:00,0.805
18:26:08,0.803
18:26:17,0.812
18:26:25,0.808
18:26:33,0.802
18:26:41,0.8
18:26:49,0.801
18:26:57,0.8
18:27:06,0.8
